,ISBN,bookAuthor,author_gender,birthplace
1523,679431136,Michael Crichton,male, United States    
1527,8440629540,Michael Crichton,male, United States    
1531,679419462,Michael Crichton,male, United States    
1535,394513924,Michael Crichton,male, United States    
1539,525938028,Michael Crichton,male, United States    
1547,8401323924,Michael Crichton,male, United States    
1551,345379667,Michael Crichton,male, United States    
1555,061333633X,Michael Crichton,male, United States    
1559,345405072,Michael Crichton,male, United States    
1563,345019520,Michael Crichton,male, United States    
1567,8495501236,Michael Crichton,male, United States    
1571,60541814,Michael Crichton,male, United States    
1575,679430628,Michael Crichton,male, United States    
1579,375401075,Michael Crichton,male, United States    
1583,8484505197,Michael Crichton,male, United States    
1587,345418956,Michael Crichton,male, United States    
1591,440101999,Michael Crichton,male, United States    
1595,037540435X,Michael Crichton,male, United States    
1599,60536985,Michael Crichton,male, United States    
1603,038056176X,Michael Crichton,male, United States    
1607,3499227983,Michael Crichton,male, United States    
1611,3442451221,Michael Crichton,male, United States    
1615,440130999,Michael Crichton,male, United States    
1619,679431152,Michael Crichton,male, United States    
1623,517101351,Michael Crichton,male, United States    
1627,60092572,Michael Crichton,male, United States    
1631,394534069,Michael Crichton,male, United States    
1635,712676902,Michael Crichton,male, United States    
1639,8401325218,Michael Crichton,male, United States    
1643,394561104,Michael Crichton,male, United States    
1651,3442443865,Michael Crichton,male, United States    
1655,553702327,Michael Crichton,male, United States    
1659,333452984,Michael Crichton,male, United States    
1663,345418980,Michael Crichton,male, United States    
1667,375408738,Michael Crichton,male, United States    
1671,034540288x,Michael Crichton,male, United States    
1675,60509058,Michael Crichton,male, United States    
1679,679457976,Michael Crichton,male, United States    
1683,60536942,Michael Crichton,male, United States    
1687,081616228X,Michael Crichton,male, United States    
1691,394494016,Michael Crichton,male, United States    
1695,60541830,Michael Crichton,male, United States    
1699,394415256,Michael Crichton,male, United States    
1703,345419014,Michael Crichton,male, United States    
1707,613068963,Michael Crichton,male, United States    
1711,394447689,Michael Crichton,male, United States    
1715,375404376,Michael Crichton,male, United States    
1719,345408330,Michael Crichton,male, United States    
1723,345418972,Michael Crichton,male, United States    
1727,2221081293,Michael Crichton,male, United States    
1731,2266005669,Michael Crichton,male, United States    
1739,061321546X,Michael Crichton,male, United States    
1743,344244263X,Michael Crichton,male, United States    
1747,2266068490,Michael Crichton,male, United States    
1751,2266064878,Michael Crichton,male, United States    
1755,679460330,Michael Crichton,male, United States    
1759,8811685087,Michael Crichton,male, United States    
1763,034544583X,Michael Crichton,male, United States    
1767,345374738,Michael Crichton,male, United States    
1771,679410996,Michael Crichton,male, United States    
1775,349923470X,Michael Crichton,male, United States    
1779,8401492335,Michael Crichton,male, United States    
1783,613012631,Michael Crichton,male, United States    
1787,034539092x,Michael Crichton,male, United States    
1791,684823802,C.S. Lewis,male,Ireland    
1797,20869002,C.S. Lewis,male,Ireland    
1803,684823772,C.S. Lewis,male,Ireland    
1809,743234901,C.S. Lewis,male,Ireland    
1815,20868901,C.S. Lewis,male,Ireland    
1821,684831171,C.S. Lewis,male,Ireland    
1827,20869401,C.S. Lewis,male,Ireland    
1833,684823853,C.S. Lewis,male,Ireland    
1839,20869606,C.S. Lewis,male,Ireland    
1845,20869509,C.S. Lewis,male,Ireland    
1851,002086910X,C.S. Lewis,male,Ireland    
1857,743234928,C.S. Lewis,male,Ireland    
1863,074323491X,C.S. Lewis,male,Ireland    
1869,20195508,C.S. Lewis,male,Ireland    
1875,684823829,C.S. Lewis,male,Ireland    
1881,20869207,C.S. Lewis,male,Ireland    
1887,6269281,C.S. Lewis,male,Ireland    
1893,20868502,C.S. Lewis,male,Ireland    
1899,002095980X,C.S. Lewis,male,Ireland    
1905,20867603,C.S. Lewis,male,Ireland    
1911,684833654,C.S. Lewis,male,Ireland    
1917,684833646,C.S. Lewis,male,Ireland    
1923,2154064,C.S. Lewis,male,Ireland    
1929,684833670,C.S. Lewis,male,Ireland    
1935,446310786,Harper Lee,female, United States    
1940,446310492,Harper Lee,female, United States    
1945,435120964,Harper Lee,female, United States    
1950,60935464,Harper Lee,female, United States    
1955,60194995,Harper Lee,female, United States    
1960,3499142813,Harper Lee,female, United States    
1965,397001517,Harper Lee,female, United States    
1970,8484508552,Harper Lee,female, United States    
1975,006017322X,Harper Lee,female, United States    
1980,3883890391,Harper Lee,female, United States    
1985,446314862,Harper Lee,female, United States    
1990,8401492041,Harper Lee,female, United States    
1995,895774356,Harper Lee,female, United States    
2000,157270036X,Harper Lee,female, United States    
2005,899668585,Harper Lee,female, United States    
2010,60168013,Barbara Kingsolver,female, United States    
2016,571197639,Barbara Kingsolver,female, United States    
2022,60915544,Barbara Kingsolver,female, United States    
2028,60917016,Barbara Kingsolver,female, United States    
2034,60930535,Barbara Kingsolver,female, United States    
2040,60175400,Barbara Kingsolver,female, United States    
2046,60922532,Barbara Kingsolver,female, United States    
2052,61097314,Barbara Kingsolver,female, United States    
2058,60504080,Barbara Kingsolver,female, United States    
2064,60199652,Barbara Kingsolver,female, United States    
2070,60504072,Barbara Kingsolver,female, United States    
2076,60959037,Barbara Kingsolver,female, United States    
2082,60921145,Barbara Kingsolver,female, United States    
2088,60512822,Barbara Kingsolver,female, United States    
2094,60175796,Barbara Kingsolver,female, United States    
2100,816158770,Barbara Kingsolver,female, United States    
2106,60158638,Barbara Kingsolver,female, United States    
2112,571206484,Barbara Kingsolver,female, United States    
2118,006109868X,Barbara Kingsolver,female, United States    
2124,60927569,Barbara Kingsolver,female, United States    
2130,60172916,Barbara Kingsolver,female, United States    
2136,571215769,Barbara Kingsolver,female, United States    
2142,1410400913,Barbara Kingsolver,female, United States    
2148,006051146X,Barbara Kingsolver,female, United States    
2154,786206306,Barbara Kingsolver,female, United States    
2160,694524379,Barbara Kingsolver,female, United States    
2166,801483891,Barbara Kingsolver,female, United States    
2172,8484530256,Barbara Kingsolver,female, United States    
2178,3492222765,Barbara Kingsolver,female, United States    
2184,60199660,Barbara Kingsolver,female, United States    
2190,1567404081,Barbara Kingsolver,female, United States    
2196,60161124,Barbara Kingsolver,female, United States    
2202,2743603445,Barbara Kingsolver,female, United States    
2208,2743602295,Barbara Kingsolver,female, United States    
2214,3492234364,Barbara Kingsolver,female, United States    
2220,613032950,Barbara Kingsolver,female, United States    
2226,038078243X,Jo Dereske,male, United States  
2228,380804743,Jo Dereske,male, United States  
2230,380770334,Jo Dereske,male, United States  
2232,038077030X,Jo Dereske,male, United States  
2234,380782456,Jo Dereske,male, United States  
2236,380770318,Jo Dereske,male, United States  
2238,380804727,Jo Dereske,male, United States  
2240,440222214,Jo Dereske,male, United States  
2242,440222222,Jo Dereske,male, United States  
2244,055321215X,Jane Austen,female,England    
2250,486284735,Jane Austen,female,England    
2256,140620664,Jane Austen,female,England    
2262,451526279,Jane Austen,female,England    
2268,140620427,Jane Austen,female,England    
2274,140620109,Jane Austen,female,England    
2280,451523067,Jane Austen,female,England    
2286,451526295,Jane Austen,female,England    
2292,451187903,Jane Austen,female,England    
2298,553211978,Jane Austen,female,England    
2304,486290492,Jane Austen,female,England    
2310,553212761,Jane Austen,female,England    
2316,460872125,Jane Austen,female,England    
2322,192815466,Jane Austen,female,England    
2328,451524195,Jane Austen,female,England    
2334,553213105,Jane Austen,female,England    
2340,140431020,Jane Austen,female,England    
2346,1853260002,Jane Austen,female,England    
2352,451525892,Jane Austen,female,England    
2358,760700435,Jane Austen,female,England    
2364,140373373,Jane Austen,female,England    
2370,140430059,Jane Austen,female,England    
2376,679783261,Jane Austen,female,England    
2382,451526368,Jane Austen,female,England    
2388,055321019X,Jane Austen,female,England    
2394,553211374,Jane Austen,female,England    
2400,375757422,Jane Austen,female,England    
2406,1857026012,Jane Austen,female,England    
2412,140620753,Jane Austen,female,England    
2418,451523652,Jane Austen,female,England    
2424,1566191432,Jane Austen,female,England    
2430,140258175,Jane Austen,female,England    
2436,1566190932,Jane Austen,female,England    
2442,553213342,Jane Austen,female,England    
2448,375757295,Jane Austen,female,England    
2454,451525884,Jane Austen,female,England    
2460,140620222,Jane Austen,female,England    
2466,451519167,Jane Austen,female,England    
2472,141439513,Jane Austen,female,England    
2484,192827618,Jane Austen,female,England    
2490,1853260282,Jane Austen,female,England    
2496,192833588,Jane Austen,female,England    
2502,893756113,Jane Austen,female,England    
2508,486406482,Jane Austen,female,England    
2514,812543122,Jane Austen,female,England    
2520,451526384,Jane Austen,female,England    
2526,140434259,Jane Austen,female,England    
2532,1853260320,Jane Austen,female,England    
2538,140430164,Jane Austen,female,England    
2544,460110225,Jane Austen,female,England    
2550,460875299,Jane Austen,female,England    
2556,140434267,Jane Austen,female,England    
2562,704338238,Jane Austen,female,England    
2568,1851523588,Jane Austen,female,England    
2574,019282760X,Jane Austen,female,England    
2580,375759174,Jane Austen,female,England    
2586,192824325,Jane Austen,female,England    
2592,451523237,Jane Austen,female,England    
2598,393096688,Jane Austen,female,England    
2604,1853260568,Jane Austen,female,England    
2610,141439688,Jane Austen,female,England    
2616,553210181,Jane Austen,female,England    
2622,517415127,Jane Austen,female,England    
2628,553211218,Jane Austen,female,England    
2634,582330866,Jane Austen,female,England    
2640,B000051WXP,Jane Austen,female,England    
2646,192815032,Jane Austen,female,England    
2652,192833553,Jane Austen,female,England    
2658,192833618,Jane Austen,female,England    
2664,140430741,Jane Austen,female,England    
2670,1853260436,Jane Austen,female,England    
2676,140238212,Jane Austen,female,England    
2682,460010212,Jane Austen,female,England    
2688,812523369,Jane Austen,female,England    
2694,140059598,Jane Austen,female,England    
2700,679405429,Jane Austen,female,England    
2706,760701652,Jane Austen,female,England    
2712,076240566X,Jane Austen,female,England    
2718,192827596,Jane Austen,female,England    
2724,9626340762,Jane Austen,female,England    
2730,140430474,Jane Austen,female,England    
2736,019282757X,Jane Austen,female,England    
2742,192827561,Jane Austen,female,England    
2748,1593080484,Jane Austen,female,England    
2754,1561387053,Jane Austen,female,England    
2760,2264023813,Jane Austen,female,England    
2766,2264023805,Jane Austen,female,England    
2772,486295559,Jane Austen,female,England    
2778,192815040,Jane Austen,female,England    
2784,1593081065,Jane Austen,female,England    
2790,1853268496,Jane Austen,female,England    
2796,1853260169,Jane Austen,female,England    
2802,3746651042,Jane Austen,female,England    
2808,614298458,Jane Austen,female,England    
2814,2264024704,Jane Austen,female,England    
2820,140434151,Jane Austen,female,England    
2826,681005718,Jane Austen,female,England    
2832,1572700955,Jane Austen,female,England    
2838,895771985,Jane Austen,female,England    
2844,3829030010,Jane Austen,female,England    
2850,517385899,Jane Austen,female,England    
2856,140378502,Jane Austen,female,England    
2862,140430105,Jane Austen,female,England    
2868,755000951,Jane Austen,female,England    
2874,019283357X,Jane Austen,female,England    
2880,192833634,Jane Austen,female,England    
2886,451523725,Jane Austen,female,England    
2892,804900019,Jane Austen,female,England    
2904,2253140732,Jane Austen,female,England    
2910,460874675,Jane Austen,female,England    
2916,140434143,Jane Austen,female,England    
2922,140434674,Jane Austen,female,England    
2934,684843420,Jane Austen,female,England    
2940,140259449,Jane Austen,female,England    
2946,3895082074,Jane Austen,female,England    
2952,451522893,Jane Austen,female,England    
2958,460010247,Jane Austen,female,England    
2964,439101352,Jane Austen,female,England    
2970,046087294X,Jane Austen,female,England    
2976,553211102,Jane Austen,female,England    
2982,486414124,Jane Austen,female,England    
2988,140106499,Jane Austen,female,England    
2994,140434135,Jane Austen,female,England    
3000,2264023821,Jane Austen,female,England    
3006,385487266,Jane Austen,female,England    
3012,451518349,Jane Austen,female,England    
3024,192835211,Jane Austen,female,England    
3030,553211595,Jane Austen,female,England    
3042,192815261,Jane Austen,female,England    
3048,451520750,Jane Austen,female,England    
3054,563371900,Jane Austen,female,England    
3060,393960145,Jane Austen,female,England    
3066,375756736,Jane Austen,female,England    
3072,895775824,Jane Austen,female,England    
3078,8817150541,Jane Austen,female,England    
3084,486415856,Jane Austen,female,England    
3090,375757813,Jane Austen,female,England    
3096,679601929,Jane Austen,female,England    
3102,451521854,Jane Austen,female,England    
3108,3257229461,Jane Austen,female,England    
3114,141439661,Jane Austen,female,England    
3120,1593080204,Jane Austen,female,England    
3126,681218894,Jane Austen,female,England    
3132,749336269,Jane Austen,female,England    
3138,141439807,Jane Austen,female,England    
3144,8817123749,Jane Austen,female,England    
3150,140432671,Jane Austen,female,England    
3156,749336412,Jane Austen,female,England    
3162,451516621,Jane Austen,female,England    
3174,679409866,Jane Austen,female,England    
3180,812565886,Jane Austen,female,England    
3186,460018930,Jane Austen,female,England    
3192,1551111314,Jane Austen,female,England    
3198,451522265,Jane Austen,female,England    
3204,330029487,Jane Austen,female,England    
3210,330029495,Jane Austen,female,England    
3216,393997715,Jane Austen,female,England    
3222,1551114798,Jane Austen,female,England    
3228,451075226,Jane Austen,female,England    
3234,141439580,Jane Austen,female,England    
3240,760727813,Jane Austen,female,England    
3246,582529131,Jane Austen,female,England    
3252,3257219644,Jane Austen,female,England    
3258,451525019,Jane Austen,female,England    
3264,8466304045,Jane Austen,female,England    
3270,8489854947,Jane Austen,female,England    
3276,8432038776,Jane Austen,female,England    
3282,192802372,Jane Austen,female,England    
3288,395051010,Jane Austen,female,England    
3294,8437606780,Jane Austen,female,England    
3300,393960188,Jane Austen,female,England    
3306,786881836,Jane Austen,female,England    
3312,679601937,Jane Austen,female,England    
3318,192510215,Jane Austen,female,England    
3324,067941715X,Jane Austen,female,England    
3330,679601910,Jane Austen,female,England    
3336,394718925,Jane Austen,female,England    
3342,1582791759,Jane Austen,female,England    
3354,517888335,Jane Austen,female,England    
3360,192828231,Jane Austen,female,England    
3366,679601945,Jane Austen,female,England    
3372,019282760x,Jane Austen,female,England    
3378,671443895,Jane Austen,female,England    
3384,140057749,Jane Austen,female,England    
3390,451515536,Jane Austen,female,England    
3396,185326847X,Jane Austen,female,England    
3402,140239316,Jane Austen,female,England    
3408,3895082333,Jane Austen,female,England    
3414,3190025355,Jane Austen,female,England    
3420,395202841,Jane Austen,female,England    
3426,192804782,Jane Austen,female,England    
3432,192802380,Jane Austen,female,England    
3438,B00005BBW4,Jane Austen,female,England    
3444,078711068X,Jane Austen,female,England    
3450,8426108687,Jane Austen,female,England    
3456,1843910608,Jane Austen,female,England    
3462,019280264X,Jane Austen,female,England    
3468,192822845,Jane Austen,female,England    
3474,760701660,Jane Austen,female,England    
3480,681218908,Jane Austen,female,England    
3486,393962946,Jane Austen,female,England    
3492,9580412340,Jane Austen,female,England    
3498,553582909,Dean R. Koontz,male, United States    
3500,425181111,Dean R. Koontz,male, United States    
3502,451181379,Dean R. Koontz,male, United States    
3504,425142485,Dean R. Koontz,male, United States    
3506,451205421,Dean R. Koontz,male, United States    
3508,425124347,Dean R. Koontz,male, United States    
3510,425115801,Dean R. Koontz,male, United States    
3512,553582933,Dean R. Koontz,male, United States    
3514,345384350,Dean R. Koontz,male, United States    
3516,425101452,Dean R. Koontz,male, United States    
3518,425098648,Dean R. Koontz,male, United States    
3520,425181103,Dean R. Koontz,male, United States    
3522,425188809,Dean R. Koontz,male, United States    
3524,425092178,Dean R. Koontz,male, United States    
3526,034539657X,Dean R. Koontz,male, United States    
3528,425144429,Dean R. Koontz,male, United States    
3530,399138749,Dean R. Koontz,male, United States    
3532,425118703,Dean R. Koontz,male, United States    
3534,553582755,Dean R. Koontz,male, United States    
3536,553582925,Dean R. Koontz,male, United States    
3538,042513525X,Dean R. Koontz,male, United States    
3540,425153975,Dean R. Koontz,male, United States    
3542,425121259,Dean R. Koontz,male, United States    
3544,399137734,Dean R. Koontz,male, United States    
3546,425099334,Dean R. Koontz,male, United States    
