,ISBN,bookTitle,book_average_rating
639,1844131599,The Last Juror,3.98
645,3453190025,Das Testament,3.98
651,8466304282,El Socio,3.98
657,3453216253,Das Fest,3.98
663,553472348,The Chamber,3.98
669,345502498X,Die Jury,3.98
675,8466611622,Rey De Los Pleitos,3.98
681,553452991,The Firm,3.98
687,553712837,Skipping Christmas,3.98
693,440295424,The Rainmaker,3.98
699,99271273,The Rainmaker,3.98
705,553526847,The Brethren,3.98
711,922066728,A Time to Kill,3.98
717,3453108574,Die Kammer.,3.98
723,3455024998,Der Regenmacher.,3.98
729,375727965,The Brethren,3.98
735,3453210697,Die Bruderschaft,3.98
741,8804505516,LA Casa Dipinta,3.98
747,3455024971,Der Partner. Sonderausgabe.,3.98
753,3455024920,Die Akte.,3.98
759,3455024963,Das Urteil.,3.98
765,345308909X,Der Klient.,3.98
771,3453868560,Die Schuld.,3.98
777,3453173090,Das Testament.,3.98
783,739302248,The King of Torts,3.98
789,440910927,The Rainmaker,3.98
795,8466300171,El testamento,3.98
801,8440694369,El Socio,3.98
807,3453185935,Die Bruderschaft.,3.98
813,375431977,The Summons,3.98
819,8804484012,Il Testamento/the Testament,3.98
825,8804498528,Il Confratelli,3.98
831,8466305920,LA Granja (Punto de Lectura),3.98
837,038542471x,The Client,3.98
843,3453864786,Die Farm. Roman.,3.98
849,2266110594,Le Testament,3.98
855,385480164,The Runaway Jury: Slipcase,3.98
861,8466609016,Una Navidad Diferente,3.98
867,8466602690,LA Granja,3.98
873,8440681798,Causa justa,3.98
879,844067581X,El Socio,3.98
885,3453127323,Die Kammer,3.98
891,2266115499,Non Coupable,3.98
897,3455025013,Der Verrat.,3.98
903,99283417,Client,3.98
909,553472828,The Runaway Jury,3.98
915,2266078615,L'Associe,3.98
921,712678212,Street Lawyer,3.98
927,044021145x,The Firm,3.98
933,8408012428,Tiempo De Matar: Historia De Una Venganza,3.98
939,440295262,The Client: International Edition,3.98
945,440295734,The Testament,3.98
951,440295335,The Chamber,3.98
957,3453136551,Der Regenmacher.,3.98
963,8466309977,La citaciÃ³n (The Summons),3.98
969,712675027,The Chamber - Airport Ed,3.98
975,712654593,Rainmaker Uk,3.98
981,3453115481,Die Jury,3.98
987,440910846,The Chamber,3.98
993,743527364,The WaveDancer Benefit,3.98
999,553471392,The Client,3.98
1005,2266110098,L'idÃ?Â©aliste,3.98
1011,385470789,A Time to Kill,3.98
1017,3453151658,Der Partner.,3.98
1023,2266078593,L' Idealiste,3.98
1029,385485921,The Partner (special edition),3.98
1035,385468652,The Client (Large Print),3.98
1041,712654542,Chamber,3.98
1047,553502417,The Brethren,3.98
1053,553502271,The Testament,3.98
1059,2266064886,L' Affaire Pelican,3.98
1065,553479180,The Street Lawyer,3.98
1071,553502042,The Rainmaker,3.98
1077,044023722x,A Painted House,3.98
1083,8408020943,Camara De Gas,3.98
1089,8408020935,Tiempo De Matar,3.98
1095,553455710,The Street Lawyer,3.98
1101,553712527,A Painted House,3.98
1107,3455024939,Der Klient.,3.98
1113,440295181,The Firm,3.98
1119,553470469,The Pelican Brief,3.98
1125,553472836,The Partner,3.98
1131,8466312099,Una navidad diferente (Skipping Christmas),3.98
1137,8495501066,El Jurado (Punto de Lectura),3.98
1143,8408011340,LA Tapadera/the Firm (The Firm),3.98
1149,8466609563,La Citacion,3.98
1155,8408021419,El Cliente,3.98
1161,840801997X,La tapadera,3.98
1167,440295211,The Pelican Brief: International Edition,3.98
1173,743527372,The WaveDancer Benefit,3.98
1179,2266078585,Le MaÃ?Â®tre du jeu,3.98
1185,2266107275,La Loi Du Plus Faible / The Law of Weakest,3.98
1191,2266125672,L'Engrenage,3.98
1197,555600000X,The Firm,3.98
1203,739420712,Skipping Christmas,3.98
1209,452264464,Beloved (Plume Contemporary Fiction),3.67
1214,452264790,Tar Baby,3.67
1219,452260116,Song of Solomon (Oprah's Book Club (Paperback)),3.67
1224,452283868,Sula,3.67
1229,452280621,Beloved,3.67
1234,679433740,Paradise,3.67
1239,140283404,Beloved (Penguin Great Books of the 20th Century),3.67
1244,375411550,The Bluest Eye,3.67
1249,452280397,Paradise,3.67
1254,452282195,The Bluest Eye,3.67
1259,679745424,Playing in the Dark: Whiteness and the Literary Imagination,3.67
1264,3499228548,Sehr blaue Augen.,3.67
1269,451158288,Song of Solomon,3.67
1274,451161394,Beloved,3.67
1279,8440656955,Beloved,3.67
1284,8440682719,La Cancion de Salomon,3.67
1289,452261368,Beloved: A Novel (Plume Contemporary Fiction),3.67
1294,99760118,Beloved,3.67
1299,452269652,Jazz (Plume Contemporary Fiction),3.67
1304,30850746,The Bluest Eye: A Novel,3.67
1309,1580601200,Beloved,3.67
1314,451122240,Tar Baby,3.67
1319,451177800,Jazz,3.67
1324,3499130653,Menschenkind,3.67
1329,671742922,BLUEST EYE,3.67
1334,8440656963,Jazz,3.67
1339,3499135566,Lazz,3.67
1344,8440689322,Paraiso,3.67
1349,140003342X,Song of Solomon,3.67
1354,375702172,Paradise (Random House Large Print),3.67
1359,451166396,Tar Baby,3.67
1364,451152611,Song of Solomon,3.67
1369,3499154706,Sula,3.67
1374,330305026,Song for Solomon,3.67
1379,674673778,Playing in the Dark : Whiteness and the Literary Imagination,3.67
1384,452156408,Toni Morrison: Paradise/Beloved/Song of Solomon,3.67
1389,2264020741,Jazz,3.67
1394,375405623,Beloved,3.67
1399,451152603,Tar Baby,3.67
1404,375401792,Paradise (AUDIO CASSETTE),3.67
1409,451156595,Beloved,3.67
1414,452253268,Tar Baby,3.67
1419,3499229153,Paradies.,3.67
1424,8440635893,Beloved,3.67
1429,452260124,Tar Baby,3.67
1434,896211231,Beloved (Basic Series),3.67
1439,345402871,Airframe,4.0
1443,345378490,Congo,4.0
1447,345370775,Jurassic Park,4.0
1451,034540288X,The Lost World,4.0
1455,61015725,Prey,4.0
1459,679446486,Airframe,4.0
1463,345391055,Disclosure,4.0
1467,66214122,Prey: A Novel,4.0
1471,451183665,A Case of Need,4.0
1475,3426600218,Dinopark/Jurassic Park,4.0
1479,679444815,Timeline,4.0
1483,394589424,Rising Sun,4.0
1487,345354621,The Terminal Man,4.0
1491,345359321,Travels,4.0
1495,679419454,Disclosure,4.0
1499,613072103,Airframe,4.0
1503,067945540X,Lost World,4.0
1507,451210638,A Case of Need,4.0
1511,034539092X,The Great Train Robbery,4.0
1515,553024248,The great train robbery,4.0
1519,60502304,The Great Train Robbery,4.0
1523,679431136,Congo,4.0
1527,8440629540,El Hombre Terminal,4.0
1531,679419462,The Lost World: A Novel,4.0
1535,394513924,Congo,4.0
1539,525938028,A Case of Need,4.0
1547,8401323924,Parque JurÃ¡sico,4.0
1551,345379667,Travels,4.0
1555,061333633X,Timeline,4.0
1559,345405072,Lost World,4.0
1563,345019520,Sphere,4.0
1567,8495501236,El Hombre Terminal,4.0
1571,60541814,The Andromeda Strain,4.0
1575,679430628,Jurassic Park,4.0
1579,375401075,Michael Crichton's Jurassic World,4.0
1583,8484505197,Rescate En El Tiempo (1999-1357),4.0
1587,345418956,Jurassic Park,4.0
1591,440101999,Andromeda Strain,4.0
1595,037540435X,Timeline,4.0
1599,60536985,Prey LP,4.0
1603,038056176X,Congo -Canc,4.0
1607,3499227983,Die Gedanken des BÃ?Â¶sen.,4.0
1611,3442451221,Timeline,4.0
1615,440130999,The Great Train Robbery,4.0
1619,679431152,Disclosure,4.0
1623,517101351,Michael Crichton: A New Collection of Three Complete Novels : Congo/Sphere/Eaters of the Dead,4.0
1627,60092572,The Terminal Man,4.0
1631,394534069,Electronic Life: How to Think About Computers,4.0
1635,712676902,Lost World,4.0
1639,8401325218,Parque JurÃ¡sico,4.0
1643,394561104,Sphere,4.0
1651,3442443865,Endstation.,4.0
1655,553702327,Sphere,4.0
1659,333452984,Sphere,4.0
1663,345418980,The Andromeda Strain,4.0
1667,375408738,Timeline - Large Print,4.0
1671,034540288x,The Lost World,4.0
1675,60509058,Travels,4.0
1679,679457976,Airframe,4.0
1683,60536942,Prey,4.0
1687,081616228X,Great Train Robbery,4.0
1691,394494016,The Great Train Robbery,4.0
1695,60541830,Congo,4.0
1699,394415256,The Andromeda Strain,4.0
1703,345419014,The Terminal Man,4.0
1707,613068963,Parque Jurasico/Jurassic Park (Jet de Plaza &amp; Janes),4.0
1711,394447689,The Terminal Man,4.0
1715,375404376,Timeline- Unabridged,4.0
1719,345408330,Twister: The Original Screenplay,4.0
1723,345418972,Sphere,4.0
1727,2221081293,Le monde perdu,4.0
1731,2266005669,Jurassic Park,4.0
1739,061321546X,Five Patients: The Hospital Explained,4.0
1743,344244263X,Airframe.,4.0
1747,2266068490,HarcÃ?Â¨lement,4.0
1751,2266064878,Soleil Levant,4.0
1755,679460330,Eaters of the Dead,4.0
1759,8811685087,Timeline: Ai Confini Del Tempo,4.0
1763,034544583X,Timeline (Eidos Ed),4.0
1767,345374738,Jurassic Park-O.M.,4.0
1771,679410996,Rising Sun,4.0
1775,349923470X,Die Gedanken des BÃ?Â¶sen.,4.0
1779,8401492335,Devoradores de Cadaveres,4.0
1783,613012631,The Lost World,4.0
1787,034539092x,The Great Train Robbery,4.0
1791,684823802,OUT OF THE SILENT PLANET,4.03
1797,20869002,Perelandra,4.03
1803,684823772,JOYFUL CHRISTIAN,4.03
1809,743234901,Out of the Silent Planet (Space Trilogy (Paperback)),4.03
1815,20868901,GREAT DIVORCE,4.03
1821,684831171,SCREWTAPE LETTERS,4.03
1827,20869401,MERE CHRISTIANITY,4.03
1833,684823853,THAT HIDEOUS STRENGTH,4.03
1839,20869606,That Hideous Strength (A Modern Fairy-Tale for Grownups),4.03
1845,20869509,Perelandra (Space Trilogy (Paperback)),4.03
1851,002086910X,OUT OF THE SILENT PLANET,4.03
1857,743234928,That Hideous Strength (Space Trilogy (Paperback)),4.03
1863,074323491X,Perelandra (Space Trilogy (Paperback)),4.03
1869,20195508,ESSENTIAL C.S. LEWIS,4.03
1875,684823829,PERELANDRA,4.03
1881,20869207,That Hideous Strength,4.03
1887,6269281,First and Second Things: Essays on Theology and Ethics,4.03
1893,20868502,PROBLEM OF PAIN,4.03
1899,002095980X,WEIGHT OF GLORY AND OTHER ADDRESSES,4.03
1905,20867603,MIRACLES (Macmillan paperbacks edition),4.03
1911,684833654,Perelandra (Scribner Classics),4.03
1917,684833646,Out of the Silent Planet (Scribner Classics),4.03
1923,2154064,All My Road Before Me: The Diary of C.S.Lewis 1922-27,4.03
1929,684833670,That Hideous Strength (Scribner Classics),4.03
1935,446310786,To Kill a Mockingbird,4.27
1940,446310492,To Kill a Mockingbird,4.27
1945,435120964,New Windmills: To Kill a Mockingbird (New Windmills),4.27
1950,60935464,To Kill a Mockingbird,4.27
1955,60194995,To Kill a Mockingbird : The 40th Anniversary Edition of the Pulitzer Prize-Winning Novel,4.27
1960,3499142813,Wer die Nachtigall stÃ?Â¶rt.,4.27
1965,397001517,To Kill a Mockingbird,4.27
1970,8484508552,Matar UN Ruisenor,4.27
1975,006017322X,To Kill a Mockingbird,4.27
1980,3883890391,TO KILL A MOCKINGBIRD - HHP EDT,4.27
1985,446314862,To Kill a Mockingbird,4.27
1990,8401492041,Matar Un Ruisenor,4.27
1995,895774356,To kill a mockingbird (The World's best reading),4.27
2000,157270036X,To Kill a Mockingbird,4.27
2005,899668585,To Kill a Mockingbird,4.27
2010,60168013,Pigs in Heaven,4.04
2016,571197639,Poisonwood Bible Edition Uk,4.04
2022,60915544,The Bean Trees,4.04
2028,60917016,Homeland and Other Stories,4.04
2034,60930535,The Poisonwood Bible: A Novel,4.04
2040,60175400,The Poisonwood Bible,4.04
2046,60922532,Pigs in Heaven,4.04
2052,61097314,The Bean Trees,4.04
2058,60504080,Small Wonder : Essays,4.04
2064,60199652,Prodigal Summer,4.04
2070,60504072,Small Wonder: Essays,4.04
2076,60959037,Prodigal Summer: A Novel,4.04
2082,60921145,Animal Dreams,4.04
2088,60512822,The Poisonwood Bible,4.04
2094,60175796,The Bean Trees Anniversary Edition : A Novel,4.04
2100,816158770,Pigs in Heaven (G.K. Hall Large Print Core Collection),4.04
2106,60158638,The Bean Trees,4.04
2112,571206484,Prodigal Summer,4.04
2118,006109868X,Pigs in Heaven,4.04
2124,60927569,High Tide in Tucson : Essays from Now or Never,4.04
2130,60172916,High Tide in Tucson: Essays from Now or Never,4.04
2136,571215769,Small Wonder,4.04
2142,1410400913,Small Wonder (Walker Large Print Books),4.04
2148,006051146X,Small Wonder,4.04
2154,786206306,High Tide in Tucson: Essays from Now or Never (Thorndike Large Print Americana Series),4.04
2160,694524379,Prodigal Summer,4.04
2166,801483891,Holding the Line: Women in the Great Arizona Mine Strike of 1983,4.04
2172,8484530256,La Biblia envenenada,4.04
2178,3492222765,Siebengestirn.,4.04
2184,60199660,Prodigal Summer LP,4.04
2190,1567404081,The Poisonwood Bible,4.04
2196,60161124,Homeland and Other Stories,4.04
2202,2743603445,Les cochons au paradis,4.04
2208,2743602295,L'arbre aux haricots,4.04
2214,3492234364,Willkommen in Kilanga. Roman.,4.04
2220,613032950,Animal Dreams,4.04
2226,038078243X,Miss Zukas and the Raven's Dance,3.73
2228,380804743,Miss Zukas Shelves the Evidence (Miss Zukas Mysteries),3.73
2230,380770334,Miss Zukas and the Stroke of Death (Miss Zukas Mysteries),3.73
2232,038077030X,Miss Zukas and the Library Murders (Miss Zukas Mysteries),3.73
2234,380782456,Final Notice: A Miss Zukas Mystery  Bk  3 (Miss Zukas Mysteries),3.73
2236,380770318,Miss Zukas and the Island Murders (Miss Zukas Mysteries),3.73
2238,380804727,Miss Zukas in Death's Shadow,3.73
2240,440222214,Savage Cut (Ruby Crane Mystery),3.73
2242,440222222,Cut and Dry (Ruby Crane Mystery),3.73
2244,055321215X,Pride and Prejudice,4.55
2250,486284735,Pride and Prejudice (Dover Thrift Editions),4.55
2256,140620664,Mansfield Park (Penguin Popular Classics),4.55
2262,451526279,Emma (Signet Classics (Paperback)),4.55
2268,140620427,Sense and Sensibility (Penguin Popular Classics),4.55
2274,140620109,Emma (Penguin Popular Classics),4.55
2280,451523067,Emma,4.55
2286,451526295,Mansfield Park (Signet Classics (Paperback)),4.55
2292,451187903,Sense and Sensibility,4.55
2298,553211978,Northanger Abbey (Bantam Classic),4.55
2304,486290492,Sense and Sensibility (Dover Thrift Editions),4.55
2310,553212761,Mansfield Park (Bantam Classic),4.55
2316,460872125,Pride and Prejudice (Everyman Paperback Classics),4.55
2322,192815466,Persuasion (World's Classics),4.55
2328,451524195,Sense and Sensibility (Signet Classic),4.55
2334,553213105,Pride and Prejudice,4.55
2340,140431020,Lady Susan ; The Watsons ; Sanditon (Penguin English Library),4.55
2346,1853260002,Pride &amp; Prejudice (Wordsworth Classics),4.55
2352,451525892,Sense and Sensibility,4.55
2358,760700435,Sense and sensibility,4.55
2364,140373373,Pride and Prejudice (Puffin Classics),4.55
2370,140430059,Persuasion: With a Memoir of Jane Austen,4.55
2376,679783261,Pride and Prejudice (Modern Library Classics),4.55
2382,451526368,Northanger Abbey (Signet Classic),4.55
2388,055321019X,Emma,4.55
2394,553211374,Persuasion,4.55
2400,375757422,Emma (Modern Library Classics),4.55
2406,1857026012,The Wit and Wisdom of Jane Austen,4.55
2412,140620753,Northanger Abbey (Penguin Popular Classics),4.55
2418,451523652,Pride and Prejudice,4.55
2424,1566191432,Pride &amp; Prejudice,4.55
2430,140258175,Emma,4.55
2436,1566190932,Pride and Prejudice,4.55
2442,553213342,Sense and Sensibility (Bantam Classics),4.55
2448,375757295,Persuasion (Modern Library Classics),4.55
2454,451525884,Pride and Prejudice,4.55
2460,140620222,Pride and Prejudice (Penguin Popular Classics),4.55
2466,451519167,Pride and Prejudice,4.55
2472,141439513,Pride and Prejudice (Penguin Classics),4.55
2484,192827618,Sense and Sensibility (World's Classics),4.55
2490,1853260282,Emma (Wordsworth Classics),4.55
2496,192833588,Sense and Sensibility (Oxford World's Classics),4.55
2502,893756113,Pride and Prejudice,4.55
2508,486406482,Emma (Dover Thrift Editions),4.55
2514,812543122,Sense and Sensibility,4.55
2520,451526384,Persuasion,4.55
2526,140434259,Sense and Sensibility,4.55
2532,1853260320,Mansfield Park (Wordsworth Collection),4.55
2538,140430164,Mansfield Park (Penguin Classics),4.55
2544,460110225,Pride and Prejudice (Everyman's Classics S.),4.55
2550,460875299,Persuasion (Everyman's Library (Paper)),4.55
2556,140434267,Pride and Prejudice (Penguin Classics),4.55
2562,704338238,Love and Friendship: And Other Early Works,4.55
2568,1851523588,Bedside Jane Austen,4.55
2574,019282760X,Pride and Prejudice (World's Classics),4.55
2580,375759174,Northanger Abbey (Modern Library Classics),4.55
2586,192824325,Emma (The World's Classics),4.55
2592,451523237,Mansfield Park,4.55
2598,393096688,Pride and Prejudice (Norton Critical Edition),4.55
2604,1853260568,Persuasion (Wordsworth Collection),4.55
2610,141439688,Persuasion (Penguin Classics),4.55
2616,553210181,Pride and Prejudice,4.55
2622,517415127,Pride &amp; Prejudice : Cha Riv *NR* (Chatham River Press Classics),4.55
2628,553211218,Mansfield Park,4.55
2634,582330866,Pride and Prejudice (Longman Study Texts),4.55
2640,B000051WXP,Emma,4.55
2646,192815032,Pride and Prejudice,4.55
2652,192833553,Pride and Prejudice (Oxford World's Classics),4.55
2658,192833618,Persuasion (Oxford World's Classics),4.55
2664,140430741,Northanger Abbey (English Library),4.55
2670,1853260436,Northanger Abbey (Wordsworth Collection),4.55
2676,140238212,Pride and Prejudice,4.55
2682,460010212,Sense and Sensibility,4.55
2688,812523369,Pride and Prejudice,4.55
2694,140059598,Mansfield Park,4.55
2700,679405429,Pride and Prejudice (Everyman's Library Series),4.55
2706,760701652,Emma,4.55
2712,076240566X,Sense and Sensibility (Giant Courage Classics),4.55
2718,192827596,Persuasion (World's Classics),4.55
2724,9626340762,Northanger Abbey (Classic Literature with Classical Music),4.55
2730,140430474,Sense and Sensibility (Penguin Classics),4.55
2736,019282757X,Mansfield Park (World's Classics),4.55
2742,192827561,Emma (World's Classics),4.55
2748,1593080484,Persuasion,4.55
2754,1561387053,Sense and Sensibility,4.55
2760,2264023813,Raison et Sentiments,4.55
2766,2264023805,Northanger Abbey,4.55
2772,486295559,Persuasion (Dover Thrift Editions),4.55
2778,192815040,Emma (World's Classics),4.55
2784,1593081065,Mansfield Park (Barnes &amp; Noble Classics),4.55
2790,1853268496,Sense and Sensibility,4.55
2796,1853260169,Sense and Sensibility (Wordsworth Classics),4.55
2802,3746651042,Mansfield Park.,4.55
2808,614298458,A Jane Austen Miscellany,4.55
2814,2264024704,Mansfield Park,4.55
2820,140434151,Emma (Penguin Classics),4.55
2826,681005718,Jane Austen: Great Classic Library,4.55
2832,1572700955,Mansfield Park (Cover to Cover Classics),4.55
2838,895771985,Pride and Prejudice (The World's Best Reading),4.55
2844,3829030010,Northanger Abbey (Konemann Classics),4.55
2850,517385899,Pride And Prejudice (Combat Aircraft Library),4.55
2856,140378502,Sense and Sensibility (Puffin Classics - the Essential Collection),4.55
2862,140430105,Emma (Penguin Classics),4.55
2868,755000951,Great Novels of Jane Austen,4.55
2874,019283357X,Emma (Oxford World's Classics),4.55
2880,192833634,Mansfield Park (Oxford World's Classics),4.55
2886,451523725,Northanger Abbey,4.55
2892,804900019,Pride and Prejudice,4.55
2904,2253140732,Emma,4.55
2910,460874675,Emma (Everyman's Library (Paper)),4.55
2916,140434143,Mansfield Park (Penguin Classics),4.55
2922,140434674,Persuasion (Penguin Classics),4.55
2934,684843420,Sanditon: Jane Austen's Last Novel Completed,4.55
2940,140259449,Complete Novels of Jane Austen,4.55
2946,3895082074,Pride and Prejudice (Konemann Classics),4.55
2952,451522893,Persuasion,4.55
2958,460010247,Emma,4.55
2964,439101352,Pride and Prejudice (Scholastic Classics),4.55
2970,046087294X,Mansfield Park (Everyman Paperback Classics),4.55
2976,553211102,Sense and Sensibility,4.55
2982,486414124,Northanger Abbey (Dover Thrift Editions),4.55
2988,140106499,Penguin Complete Novels of Jane Austen,4.55
2994,140434135,Northanger Abbey (Penguin Classics),4.55
3000,2264023821,Orgueil et PrÃ?Â©jugÃ?Â©s,4.55
3006,385487266,Mansfield Park (New York Public Library Collectors Editions),4.55
3012,451518349,Northanger Abbey,4.55
3024,192835211,Catharine and Other Writings (Oxford World's Classics),4.55
3030,553211595,Emma,4.55
3042,192815261,Mansfield Park (The World's Classics),4.55
3048,451520750,Pride and Prejudice,4.55
3054,563371900,Pride and Prejudice (BBC Series),4.55
3060,393960145,Emma: An Authoritative Text Backgrounds Reviews and Criticism (A Norton Critical Edition),4.55
3066,375756736,Sense and Sensibility (Modern Library Classics),4.55
3072,895775824,Emma (World's best reading),4.55
3078,8817150541,Ragione E Sentimento,4.55
3084,486415856,Mansfield Park,4.55
3090,375757813,Mansfield Park (Modern Library Classics),4.55
