,ISBN,bookTitle,yearOfPublication,publisher
241,399147950,What If? 2: Eminent Historians Imagine What Might Have Been,2001,Putnam Publishing Group
242,399145761,What If?: The World's Foremost Military Historians Imagine What Might Have Been,1999,Putnam Publishing Group
243,671870432,PLEADING GUILTY,1993,Audioworks
247,374281602,Reversible Errors: A Novel,2002,Farrar Straus Giroux
251,446359866,Presumed Innocent,1989,Warner Books
255,446365505,Pleading Guilty,1994,Warner Books
259,374281947,Personal Injuries,1999,Farrar Straus Giroux
263,446612626,Reversible Errors,2003,Warner Vision
267,762102543,Presumed Innocent,1999,Simon  Schuster Merchandise 
271,446360589,The Burden of Proof,1991,Warner Books
275,446351709,One L : The Turbulent True Story of a First Year at Harvard Law School,1988,Warner Books
279,446350982,Presumed Innocent,1988,Warner Books
283,374184232,The Laws of Our Fathers,1996,Farrar Straus Giroux
287,374117349,Burden of Proof,1990,Farrar Straus Giroux
291,446608602,Personal Injuries,2000,Warner Vision
295,446604402,The Laws of Our Fathers,1997,Warner Books
299,374234574,Pleading Guilty,1993,Farrar Straus Giroux
303,140049134,One L,1978,Penguin USA
307,446673781,One L : The Turbulent True Story of a First Year at Harvard Law School,1997,Warner Books
311,446676446,Presumed Innocent,2000,Warner Books
315,671574329,The LAWS OF OUR FATHERS CASSETTE,1996,Audioworks
319,671707434,The BURDEN OF PROOF,1990,Audioworks
323,374237131,Presumed Innocent,1987,Farrar Straus Giroux
327,2277235059,Le poids de la preuve,1993,J'ai lu
331,671519166,GUILTY AS CHARGED,1996,Pocket
335,736688390,Reversible Errors,2003,Books on Tape
339,3442440874,Das Gesetz der VÃ?Â¤ter.,1998,Goldmann
347,8484508277,Demanda Infalible,2002,Distribooks
351,446677124,The Burden of Proof,2000,Warner Books
355,747516545,"Scott Turow Omnibus: \Presumed Innocent\"" and \""The Burden of Proof\"".""",1993,Bloomsbury Publishing Plc
359,078624268X,Reversible Errors (Thorndike Basic),2002,Thorndike Press
363,9500410540,El Peso de la Prueba,1991,Emece Editores
367,3442452597,Die Gierigen und die Gerechten.,2002,Goldmann
371,330411543,Reversible Errors,2002,Pan Macmillan
375,671652184,PRESUMED INNOCENT,1988,Simon  Schuster Audio
379,816157464,Pleading Guilty (G K Hall Large Print Book Series),1993,G. K. Hall  Company
383,783819455,The Laws of Our Fathers (G K Hall Large Print Book Series (Cloth)),1996.0,Thorndike Press
387,375408258,Personal Injuries,1999.0,Random House Audio
391,679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,1996,Random House
393,156005492,Under the Black Flag: The Romance and the Reality of Life among the Pirates,1997,Harvest Books
395,375500413,Women Sailors and Sailors' Women: An Untold Maritime History,2001,Random House Trade
397,074322678X,Where You'll Find Me: And Other Stories,2002,Scribner
398,679731946,Picturing Will (Vintage Contemporaries),1991,Vintage Books USA
399,067162220X,Where You'll Find Me and Other Stories,1986,Simon  Schuster
400,394744187,Love Always: A Novel (Vintage Contemporaries),1986,Vintage Books USA
401,394569873,Picturing Will,1990,Random House Inc
402,20165609,Where You'll Find Me and Other Stories,1987,Simon  Schuster
403,445045345,Secrets and Surprises,0,Warner Books> C/o Little Br
404,445046503,Falling In Place,0,Warner Books> C/o Little Br
405,394539656,Love Always,1985,Random House Inc
406,743235010,The Doctor's House: A Novel,2003,Scribner
407,067940077X,What Was Mine: Stories,1991,Random House Inc
408,679400788,Another You,1995,Random House Inc
409,679734643,Another You,1996,Vintage Books USA
410,679732349,Chilly Scenes of Winter (Vintage Contemporaries),1991,Vintage Books USA
411,067973192X,Falling in Place (Vintage Contemporaries),1991,Vintage Books USA
412,684815109,Where You'll Find Me: And Other Stories,1996,Scribner Book Company
413,743211693,Perfect Recall: New Stories,2001,Scribner
414,1585471992,The Doctor's House (Premier Plus Series),2002,Center Point Publishing
415,044631112X,Falling in Place,1983.0,Not Avail
416,933277148,Ploughshares Fall 1995: Living Rooms,1995.0,Ploughshares Books
417,440234743,The Testament,1999,Dell
423,385508042,The King of Torts,2003,Doubleday Books
429,385511612,Bleachers,2003,Doubleday
435,044023722X,A Painted House,2001,Dell Publishing Company
441,385416342,The Firm,1991,Doubleday Books
447,038542471X,The Client,1993,Doubleday Books
453,044021145X,The Firm,1992,Bantam Dell Publishing Group
459,385490992,The Street Lawyer,1998,Doubleday Books
465,385424728,The Chamber,1994,Doubleday Books
471,385472951,The Partner,1997,Doubleday Books
477,385493800,The Testament,1999,Doubleday Books
483,385510438,The Last Juror,2004,Doubleday
489,440224764,The Partner,1998,Dell Publishing Company
495,440236673,The Brethren,2000,Island
501,99244926,The Street Lawyer,1999,Random House Uk Ltd
507,440214041,The Pelican Brief,1993,Dell
513,385424736,The Rainmaker,1995,Doubleday Books
519,3453169247,Der Verrat.,2000,Heyne
525,440213525,The Client,1994,Dell Publishing Company
531,3453061187,Die Jury. Roman.,1992,Heyne
537,99245027,The Testament,1999,Trafalgar Square
543,8440691491,El Testamento,1999,Ediciones B
549,345386980X,Der Richter.,2003,Heyne
555,99993805,Pelican Brief,0,Trafalgar Square
561,440220602,The Chamber,1995,Dell Publishing Company
567,440241073,The Summons,2002,Dell Publishing Company
573,3453127013,Der Regenmacher.,1997,Heyne
579,385503822,The Summons,2002,Doubleday Books
585,3453136411,Das Urteil.,1998,Heyne
591,440295556,The Partner,1997,Dell Publishing Company
597,345307565X,Die Akte. Roman.,1994,Heyne
603,440295521,The Runaway Jury,1996,Dell Publishing Company
609,8440664346,El Jurado,1996,Ediciones B
615,3453071174,Die Firma. Roman.,1993,Heyne
621,3455024947,Die Kammer.,1995,Hoffmann  Campe
627,846630259X,La hermandad,2001,Punto de Lectura
633,8466301569,El Testamento (Punto de Lectura),2002,Punto de Lectura
639,1844131599,The Last Juror,2004,Century
645,3453190025,Das Testament,2001,Wilhelm Heyne Verlag
651,8466304282,El Socio,2002,Distribooks
657,3453216253,Das Fest,2003,Distribooks Inc
663,553472348,The Chamber,1994,Random House Audio
669,345502498X,Die Jury,1998,Hoffmann und Campe Verlag
675,8466611622,Rey De Los Pleitos,2003,Ediciones B
681,553452991,The Firm,1991,Random House Audio
687,553712837,Skipping Christmas,2001,Bantam Books-Audio
693,440295424,The Rainmaker,1996,Doubleday Books
699,99271273,The Rainmaker,1998,Arrow
705,553526847,The Brethren,2000,Random House Audio Publishing Group
711,922066728,A Time to Kill,1992,Dell Publishing
717,3453108574,Die Kammer.,1996,Heyne
723,3455024998,Der Regenmacher.,1996,Hoffmann  Campe
729,375727965,The Brethren,2000,Random House Large Print Publishing
735,3453210697,Die Bruderschaft,2003,Distribooks Inc
741,8804505516,LA Casa Dipinta,2002,Distribooks Inc
747,3455024971,Der Partner. Sonderausgabe.,2000,Hoffmann  Campe
753,3455024920,Die Akte.,1993,Hoffmann  Campe
759,3455024963,Das Urteil.,1997,Hoffmann  Campe
765,345308909X,Der Klient.,1995,Heyne
771,3453868560,Die Schuld.,2003,Heyne
777,3453173090,Das Testament.,2000,Heyne
783,739302248,The King of Torts,2003,Random House Audio Publishing Group
789,440910927,The Rainmaker,1995,Island
795,8466300171,El testamento,2001,Biblioteca de Bolsillo
801,8440694369,El Socio,1999,Ediciones B
807,3453185935,Die Bruderschaft.,2001,Heyne
813,375431977,The Summons,2002,Random House Large Print Publishing
819,8804484012,Il Testamento/the Testament,2002,Distribooks Inc
825,8804498528,Il Confratelli,2002,Distribooks
831,8466305920,LA Granja (Punto de Lectura),2002,Punto de Lectura
837,038542471x,The Client,1993,Doubleday Books
843,3453864786,Die Farm. Roman.,2002,Heyne
849,2266110594,Le Testament,2002,Distribooks Inc
855,385480164,The Runaway Jury: Slipcase,1996,Doubleday Books
861,8466609016,Una Navidad Diferente,2002,Ediciones B
867,8466602690,LA Granja,2001,Downtown Book Center
873,8440681798,Causa justa,2000,Ediciones B
879,844067581X,El Socio,1997,Ediciones B
885,3453127323,Die Kammer,1998,Wilhelm Heyne Verlag GmbH  Co KG
891,2266115499,Non Coupable,2001,Pocket
897,3455025013,Der Verrat.,1999,Hoffmann  Campe
903,99283417,Client,0,Trafalgar Square
909,553472828,The Runaway Jury,1996,Random House Audio
915,2266078615,L'Associe,2000,Pocket (FR)
921,712678212,Street Lawyer,0,Trafalgar Square
927,044021145x,The Firm,1992,Bantam Dell Publishing Group
933,8408012428,Tiempo De Matar: Historia De Una Venganza,1995,Planeta Pub Corp
939,440295262,The Client: International Edition,1993,Dell Publishing Company
945,440295734,The Testament,1999,Bantam Books
951,440295335,The Chamber,1995,Dell Publishing Company
957,3453136551,Der Regenmacher.,1998,Heyne
963,8466309977,La citaciÃ³n (The Summons),2003,Punto de Lectura
969,712675027,The Chamber - Airport Ed,0,Century
975,712654593,Rainmaker Uk,0,Century
981,3453115481,Die Jury,1998,Wilhelm Heyne Verlag GmbH  Co KG
987,440910846,The Chamber,1995,Dell Publishing Company
993,743527364,The WaveDancer Benefit,2002,Simon  Schuster Audio
999,553471392,The Client,1993,Random House Audio
1005,2266110098,L'idÃ?Â©aliste,2001,Pocket
1011,385470789,A Time to Kill,1993,Doubleday Books
1017,3453151658,Der Partner.,1999,Heyne
1023,2266078593,L' Idealiste,0,Pocket
1029,385485921,The Partner (special edition),1997,Doubleday Books
1035,385468652,The Client (Large Print),1993,Doubleday Books
1041,712654542,Chamber,0,Trafalgar Square
1047,553502417,The Brethren,2000,Random House Audio Publishing Group
1053,553502271,The Testament,1999,Random House Audio
1059,2266064886,L' Affaire Pelican,1995,Pocket
1065,553479180,The Street Lawyer,1999,Random House Audio Publishing Group
1071,553502042,The Rainmaker,1997,Random House Audio
1077,044023722x,A Painted House,2001,Dell Publishing Company
1083,8408020943,Camara De Gas,1998,Booket
1089,8408020935,Tiempo De Matar,1997,Booket
1095,553455710,The Street Lawyer,1999,Random House Audio Publishing Group
1101,553712527,A Painted House,2001,Random House Audio Publishing Group
1107,3455024939,Der Klient.,1994,Hoffmann  Campe
1113,440295181,The Firm,1991,Dell Publishing Company
1119,553470469,The Pelican Brief,1992,Random House Audio Publishing Group
1125,553472836,The Partner,1997,Random House Audio
1131,8466312099,Una navidad diferente (Skipping Christmas),2003,Alfaguara/Santillana USA
1137,8495501066,El Jurado (Punto de Lectura),2002,Suma de Letras
1143,8408011340,LA Tapadera/the Firm (The Firm),1995,Planeta Pub Corp
1149,8466609563,La Citacion,2002,Ediciones B
1155,8408021419,El Cliente,1997,Planeta Editorial S A
1161,840801997X,La tapadera,1997,Planeta Editorial S A
1167,440295211,The Pelican Brief: International Edition,1992,Dell Publishing Company
1173,743527372,The WaveDancer Benefit,2002,Simon  Schuster Audio
1179,2266078585,Le MaÃ?Â®tre du jeu,1999,Pocket
1185,2266107275,La Loi Du Plus Faible / The Law of Weakest,2001,Pocket (FR)
1191,2266125672,L'Engrenage,2003,Pocket
1197,555600000X,The Firm,1993,Dell Publishing Company
1203,739420712,Skipping Christmas,2001.0,Doubleday
1209,452264464,Beloved (Plume Contemporary Fiction),1994,Plume
1214,452264790,Tar Baby,1987,Plume Books
1219,452260116,Song of Solomon (Oprah's Book Club (Paperback)),1987,Plume Books
1224,452283868,Sula,2002,Plume Books
1229,452280621,Beloved,1998,Plume Books
1234,679433740,Paradise,1998,Alfred A. Knopf
1239,140283404,Beloved (Penguin Great Books of the 20th Century),2000,Penguin Books
1244,375411550,The Bluest Eye,2000,Knopf
1249,452280397,Paradise,1999,Plume Books
1254,452282195,The Bluest Eye,2000,Plume Books
1259,679745424,Playing in the Dark: Whiteness and the Literary Imagination,1993,Vintage Books USA
1264,3499228548,Sehr blaue Augen.,2000,Rowohlt Tb.
1269,451158288,Song of Solomon,1987,New American Library
1274,451161394,Beloved,1991,New Amer Library
1279,8440656955,Beloved,1995,Ediciones B
1284,8440682719,La Cancion de Salomon,1999,Ediciones B
1289,452261368,Beloved: A Novel (Plume Contemporary Fiction),1987,Penguin USA
1294,99760118,Beloved,0,Vintage Books
1299,452269652,Jazz (Plume Contemporary Fiction),1993,Plume Books
1304,30850746,The Bluest Eye: A Novel,1970,Smithmark Pub
1309,1580601200,Beloved,1987,Collectible First Editions
1314,451122240,Tar Baby,1983,Signet Book
1319,451177800,Jazz,1993,New Amer Library (Mm)
1324,3499130653,Menschenkind,0,Distribooks Int'l+inc
1329,671742922,BLUEST EYE,1991,Pocket
1334,8440656963,Jazz,1995,Ediciones B
1339,3499135566,Lazz,0,Distribooks Int'l+inc
1344,8440689322,Paraiso,1999,Ediciones B
1349,140003342X,Song of Solomon,2004,Vintage Books USA
1354,375702172,Paradise (Random House Large Print),1998,Random House Large Print Publishing
1359,451166396,Tar Baby,1983,Signet Book
1364,451152611,Song of Solomon,1989,New Amer Library
1369,3499154706,Sula,2001,Distribooks
1374,330305026,Song for Solomon,1989,Pan Macmillan
1379,674673778,Playing in the Dark : Whiteness and the Literary Imagination,1992,Harvard University Press
1384,452156408,Toni Morrison: Paradise/Beloved/Song of Solomon,1999,Plume Books
1389,2264020741,Jazz,1995,Editions 10/18
1394,375405623,Beloved,1998,Knopf
1399,451152603,Tar Baby,1983,Signet Book
1404,375401792,Paradise (AUDIO CASSETTE),1998,Random House Audio Publishing Group
1409,451156595,Beloved,1996,Dutton Books
1414,452253268,Tar Baby,0,Penguin Putnam~trade
1419,3499229153,Paradies.,2001,Rowohlt Tb.
1424,8440635893,Beloved,1993,Ediciones B
1429,452260124,Tar Baby,1987,Penguin USA
1434,896211231,Beloved (Basic Series),1988,Thorndike Press
1439,345402871,Airframe,1997,Ballantine Books
1443,345378490,Congo,1995,Ballantine Books
1447,345370775,Jurassic Park,1999,Ballantine Books
1451,034540288X,The Lost World,1996,Ballantine Books
1455,61015725,Prey,2003,Avon Books
1459,679446486,Airframe,1996,Alfred A. Knopf
1463,345391055,Disclosure,1994,Ballantine Books
1467,66214122,Prey: A Novel,2002,HarperCollins
1471,451183665,A Case of Need,1994,Signet Book
1475,3426600218,Dinopark/Jurassic Park,1994,Distribooks Inc
1479,679444815,Timeline,1999,Alfred A. Knopf
1483,394589424,Rising Sun,1992,Alfred A. Knopf
1487,345354621,The Terminal Man,1988,Ballantine Books
1491,345359321,Travels,1989,Ballantine Books
1495,679419454,Disclosure,1994,Alfred A. Knopf
1499,613072103,Airframe,1999,Sagebrush Bound
1503,067945540X,Lost World,1997,Alfred A. Knopf
1507,451210638,A Case of Need,2003,Signet Book
1511,034539092X,The Great Train Robbery,1995,Ballantine Books
1515,553024248,The great train robbery,1976,Bantam Books
1519,60502304,The Great Train Robbery,2002,Avon Books
1523,679431136,Congo,1994,Random House Trade
1527,8440629540,El Hombre Terminal,2000,Ediciones B
1531,679419462,The Lost World: A Novel,1995,Alfred A. Knopf
1535,394513924,Congo,1980,Random House Inc
1539,525938028,A Case of Need,1993,Penguin USA
1547,8401323924,Parque JurÃ¡sico,2000,Lectorum Pubns (Juv)
1551,345379667,Travels,1993,Ballantine Books
1555,061333633X,Timeline,2001,Sagebrush Bound
1559,345405072,Lost World,1996,Ballantine Books
1563,345019520,Sphere,1993,Ballantine Books
1567,8495501236,El Hombre Terminal,2000,Suma de Letras
1571,60541814,The Andromeda Strain,2003,Avon Books
1575,679430628,Jurassic Park,1993,Random House Inc
1579,375401075,Michael Crichton's Jurassic World,1997,Alfred A. Knopf
1583,8484505197,Rescate En El Tiempo (1999-1357),2002,Debols!llo
1587,345418956,Jurassic Park,1997,Ballantine Books
1591,440101999,Andromeda Strain,1970,Bantam Doubleday Dell
1595,037540435X,Timeline,1999,Random House Audio
1599,60536985,Prey LP,2002,HarperLargePrint
1603,038056176X,Congo -Canc,1981,Avon Books
1607,3499227983,Die Gedanken des BÃ?Â¶sen.,2000,Rowohlt Tb.
1611,3442451221,Timeline,2002,Distribooks
1615,440130999,The Great Train Robbery,1993,Dell Publishing Company
1619,679431152,Disclosure,1994,Random House Audio Publishing Group
1623,517101351,Michael Crichton: A New Collection of Three Complete Novels : Congo/Sphere/Eaters of the Dead,1994,Wings
1627,60092572,The Terminal Man,2002,Avon Books
1631,394534069,Electronic Life: How to Think About Computers,1983,Horizon Book Promotions
1635,712676902,Lost World,0,Trafalgar Square
1639,8401325218,Parque JurÃ¡sico,1994,Distribooks Inc
1643,394561104,Sphere,1987,Alfred A. Knopf
1651,3442443865,Endstation.,1999,Goldmann
1655,553702327,Sphere,2001,Random House Audio Publishing Group
1659,333452984,Sphere,0,Humanity Press/prometheus Bk
1663,345418980,The Andromeda Strain,1997,Ballantine Books
1667,375408738,Timeline - Large Print,1999,Random House Large Print Publishing
1671,034540288x,The Lost World,1996,Ballantine Books
1675,60509058,Travels,2002,Perennial
1679,679457976,Airframe,1996,Random House Audio
1683,60536942,Prey,2002,HarperAudio
1687,081616228X,Great Train Robbery,1975,Thorndike Pr
1691,394494016,The Great Train Robbery,1975,Alfred A. Knopf
1695,60541830,Congo,2003,Avon Books
1699,394415256,The Andromeda Strain,1969,Alfred A. Knopf
1703,345419014,The Terminal Man,1997,Ballantine Books
1707,613068963,Parque Jurasico/Jurassic Park (Jet de Plaza &amp; Janes),2001,Econo-Clad Books
1711,394447689,The Terminal Man,1972,Alfred A. Knopf
1715,375404376,Timeline- Unabridged,1999,Random House Audio
1719,345408330,Twister: The Original Screenplay,1996,Ballantine Books
1723,345418972,Sphere,1997,Ballantine Books
1727,2221081293,Le monde perdu,1998,Robert Laffont
1731,2266005669,Jurassic Park,1994,Distribooks Inc
1739,061321546X,Five Patients: The Hospital Explained,2000,Econo-Clad Books
1743,344244263X,Airframe.,1999,Goldmann
1747,2266068490,HarcÃ?Â¨lement,1999,Pocket
1751,2266064878,Soleil Levant,1995,Pocket
1755,679460330,Eaters of the Dead,1998,Random House Audio
1759,8811685087,Timeline: Ai Confini Del Tempo,2002,Distribooks Inc
1763,034544583X,Timeline (Eidos Ed),2000,Ballantine Books
1767,345374738,Jurassic Park-O.M.,1991,Ballantine Books
1771,679410996,Rising Sun,1992,Random House Trade
1775,349923470X,Die Gedanken des BÃ?Â¶sen.,2003,Rowohlt Tb.
1779,8401492335,Devoradores de Cadaveres,1999,Solaris
1783,613012631,The Lost World,1999,Sagebrush Bound
1787,034539092x,The Great Train Robbery,1995.0,Ballantine Books
1791,684823802,OUT OF THE SILENT PLANET,1996,Scribner
1797,20869002,Perelandra,1965,Scribner Paper Fiction
1803,684823772,JOYFUL CHRISTIAN,1996,Scribner
1809,743234901,Out of the Silent Planet (Space Trilogy (Paperback)),2003,Scribner
1815,20868901,GREAT DIVORCE,1978,Scribner Paper Fiction
1821,684831171,SCREWTAPE LETTERS,1996,Scribner
1827,20869401,MERE CHRISTIANITY,1986,Scribner Paper Fiction
1833,684823853,THAT HIDEOUS STRENGTH,1996,Scribner
1839,20869606,That Hideous Strength (A Modern Fairy-Tale for Grownups),1987,Scribner Paper Fiction
1845,20869509,Perelandra (Space Trilogy (Paperback)),1987,Scribner
1851,002086910X,OUT OF THE SILENT PLANET,1987,Scribner
1857,743234928,That Hideous Strength (Space Trilogy (Paperback)),2003,Scribner
1863,074323491X,Perelandra (Space Trilogy (Paperback)),2003,Scribner
1869,20195508,ESSENTIAL C.S. LEWIS,1988,Scribner Paper Fiction
1875,684823829,PERELANDRA,1996,Scribner
1881,20869207,That Hideous Strength,1965,Scribner Paper Fiction
1887,6269281,First and Second Things: Essays on Theology and Ethics,1985,HarperCollins Publishers
1893,20868502,PROBLEM OF PAIN,1978,Scribner Paper Fiction
1899,002095980X,WEIGHT OF GLORY AND OTHER ADDRESSES,1980,Scribner Paper Fiction
1905,20867603,MIRACLES (Macmillan paperbacks edition),1978,Scribner Paper Fiction
1911,684833654,Perelandra (Scribner Classics),1996,Scribner
1917,684833646,Out of the Silent Planet (Scribner Classics),1996,Scribner
1923,2154064,All My Road Before Me: The Diary of C.S.Lewis 1922-27,1990,HarperCollins Publishers
1929,684833670,That Hideous Strength (Scribner Classics),1996,Scribner
1935,446310786,To Kill a Mockingbird,1988,Little Brown  Company
1940,446310492,To Kill a Mockingbird,1985,Warner Books
1945,435120964,New Windmills: To Kill a Mockingbird (New Windmills),1996,Heinemann Educational Books - Secondary Division
1950,60935464,To Kill a Mockingbird,2002,Perennial Classics
1955,60194995,To Kill a Mockingbird : The 40th Anniversary Edition of the Pulitzer Prize-Winning Novel,1999,HarperCollins
1960,3499142813,Wer die Nachtigall stÃ?Â¶rt.,1978,Rowohlt Tb.
1965,397001517,To Kill a Mockingbird,1960,Harpercollins
1970,8484508552,Matar UN Ruisenor,2002,Distribooks
1975,006017322X,To Kill a Mockingbird,1995,HarperCollins Publishers
1980,3883890391,TO KILL A MOCKINGBIRD - HHP EDT,0,Arrow (A Division of Random House Group)
1985,446314862,To Kill a Mockingbird,1982,Not Avail
1990,8401492041,Matar Un Ruisenor,1994,Lectorum Pubns Inc
1995,895774356,To kill a mockingbird (The World's best reading),1993,Reader's Digest Association
2000,157270036X,To Kill a Mockingbird,1997,Audio Partners
2005,899668585,To Kill a Mockingbird,1991,Buccaneer Books Inc
2010,60168013,Pigs in Heaven,1993,Harpercollins
2016,571197639,Poisonwood Bible Edition Uk,0,Faber Faber Inc
2022,60915544,The Bean Trees,1989,Perennial
2028,60917016,Homeland and Other Stories,1990,Perennial
2034,60930535,The Poisonwood Bible: A Novel,1999,Perennial
2040,60175400,The Poisonwood Bible,1999,HarperCollins
2046,60922532,Pigs in Heaven,1994,Perennial
2052,61097314,The Bean Trees,1998,HarperTorch
2058,60504080,Small Wonder : Essays,2003,Perennial
2064,60199652,Prodigal Summer,2000,HarperCollins
2070,60504072,Small Wonder: Essays,2002,HarperCollins
2076,60959037,Prodigal Summer: A Novel,2001,Perennial
2082,60921145,Animal Dreams,1991,Perennial
2088,60512822,The Poisonwood Bible,2003,HarperTorch
2094,60175796,The Bean Trees Anniversary Edition : A Novel,1998,HarperCollins
2100,816158770,Pigs in Heaven (G.K. Hall Large Print Core Collection),1993,Thorndike Pr
2106,60158638,The Bean Trees,1988,Harpercollins
2112,571206484,Prodigal Summer,2002,Faber  Faber Ltd
2118,006109868X,Pigs in Heaven,1999,Perennial
2124,60927569,High Tide in Tucson : Essays from Now or Never,1996,Perennial
2130,60172916,High Tide in Tucson: Essays from Now or Never,1995,HarperCollins Publishers
2136,571215769,Small Wonder,2002,Faber and Faber Ltd
2142,1410400913,Small Wonder (Walker Large Print Books),2003,Large Print Press
2148,006051146X,Small Wonder,2002,HarperAudio
2154,786206306,High Tide in Tucson: Essays from Now or Never (Thorndike Large Print Americana Series),1996,Thorndike Press
2160,694524379,Prodigal Summer,2000,HarperAudio
2166,801483891,Holding the Line: Women in the Great Arizona Mine Strike of 1983,1996,Cornell University Press
2172,8484530256,La Biblia envenenada,2000,Planeta Editorial S A
2178,3492222765,Siebengestirn.,1996,Piper
2184,60199660,Prodigal Summer LP,2000,HarperLargePrint
2190,1567404081,The Poisonwood Bible,1998,Brilliance Audio
2196,60161124,Homeland and Other Stories,1989,Harpercollins
2202,2743603445,Les cochons au paradis,1998,Rivages
2208,2743602295,L'arbre aux haricots,1997,Rivages
2214,3492234364,Willkommen in Kilanga. Roman.,2002,Piper
2220,613032950,Animal Dreams,1990.0,Sagebrush Bound
2226,038078243X,Miss Zukas and the Raven's Dance,1996,Avon
2228,380804743,Miss Zukas Shelves the Evidence (Miss Zukas Mysteries),2001,Avon
2230,380770334,Miss Zukas and the Stroke of Death (Miss Zukas Mysteries),1995,Avon
2232,038077030X,Miss Zukas and the Library Murders (Miss Zukas Mysteries),1994,Avon
2234,380782456,Final Notice: A Miss Zukas Mystery  Bk  3 (Miss Zukas Mysteries),1998,Avon
2236,380770318,Miss Zukas and the Island Murders (Miss Zukas Mysteries),1995,Avon
2238,380804727,Miss Zukas in Death's Shadow,1999,Avon
2240,440222214,Savage Cut (Ruby Crane Mystery),1996,Dell Publishing Company
2242,440222222,Cut and Dry (Ruby Crane Mystery),1997,Dell Publishing Company
2244,055321215X,Pride and Prejudice,1983,Bantam
2250,486284735,Pride and Prejudice (Dover Thrift Editions),1995,Dover Publications
2256,140620664,Mansfield Park (Penguin Popular Classics),1994,Penguin Books Ltd
2262,451526279,Emma (Signet Classics (Paperback)),1996,Signet Classics
2268,140620427,Sense and Sensibility (Penguin Popular Classics),1994,Penguin Books Ltd
2274,140620109,Emma (Penguin Popular Classics),1994,Penguin Books Ltd
